iter	Logloss
0	0.6788594209
1	0.6662319611
2	0.6523175825
3	0.6405874093
4	0.6289991824
5	0.6191664482
6	0.6129804684
7	0.6038170995
8	0.5950898609	0.5831025272
10	0.5749887944
11	0.5671797406
1212	0.56411557813	0.555314959
14	14	0.5530363281
15	0.5463731116	0.5385339222
17	17	0.5357561618	18	0.530387621919	0.5260248972020	0.5207666768
21	0.5159621493
22	0.5115177863
23	0.5074092298
24	0.5037915958
25	0.5001298782
26	0.4961222254
27	0.4927203976
28	0.4894100923
29	0.4858864785
30	0.4830639265
31	0.4802287276
32	0.4778779303
33	0.4750431252
34	0.4725832482
35	0.4703014327
36	0.4681706657
37	0.4660581158
38	0.4638945866
39	0.4623003056
40	0.4607373851
41	0.4590066395
42	0.457421211
43	0.4557514695
44	0.4542233845	0.4487313953
46	0.4473448606
47	0.4457255891
48	0.4439349436
49	0.4427907703
50	0.4412662328
551	0.4445956846
52	0.4432910352
53	0.4420121742
54	0.4410380035
55	0.4398406978
56	0.4392626965
57	0.438244839
58	0.437287672
59	0.4361971353
60	0.4352251203
61	0.4343836173
62	0.4335101229
63	0.4326387726
64	0.4317567115
65	0.4307864166
66	0.4298876288
67	0.4290576943
68	0.4284313953
69	0.427823002
70	0.4270718868
71	0.4265042029
72	0.4259705308
73	0.4253135781
74	0.4246672358
75	0.4241439284
76	0.4234362947
77	0.4228854492
78	0.422388343
79	0.4218287687
80	0.4214070566
81	0.4209646428
82	0.4204895842
83	0.420020762284	0.4155535311
85	0.4151777953
886	0.41834436887	0.4142137868
88	0.4139314538
89	0.4136732128
90	0.4132411107
91	0.4128541811
92	0.412522189
93	0.4121738616
94	0.4116877285
95	0.4113093915
96	0.4110936537
97	0.4107165437
98	0.4103693997
99	0.4099903335
100	0.4097054981
101	0.4094081405
102	0.4091074234
103	0.4088312537
104	0.4086177854
105	0.4083176926
106	0.4079641964
107	0.4077026509
108	0.4073911585
109	0.4071087554
110	0.4068081421
111	0.4065853158
112	0.4063242851
113	0.4061167752
114	0.4058648846
115	0.4055863404
116	0.4053708739
117	0.4051555636
118	0.4050280582
119	0.4048117545
120	0.4045879218121	0.4079186166
122	0.4076529988
123	0.4075232325
124	0.4072859743
125	0.4070669286
126	0.4068425281
127	0.406702439
128	0.4065387856
129	0.406341112
130	0.4061022618
131	0.4059306245
132	0.4056838352
133	0.4054463296
134	0.4052607821
135	0.405005406
136	0.404827654
137	0.4046920957
138	0.404531073
139	0.4043189205
140	0.4040937524
141	0.4039357373
142	0142	0.400197143	0143	0.400080144	0.4034096371
145	0.4032766935
146	0.4030887424
147	0.4029993554
148	0.4028640751
149	0.4026688549
150	0150	0.3989175857
151	0.3987756192
152	0.3986198152
153	0.39850154	0.4019642283
155	0.4017993571
156	0.40176136
157	0.4015989635
158	0.4014478001
159	0.4012740169
160	0.4011273476
161	0.4009961136
162	0.4008706294
163	0.4006902305
164	0.4005786925
165	0.4004234297
166	0.4002966199
167	0.4001259281
168	0.4000339734
169	0.3998793124
170	0.3997702091
171	0.3996048972
172	0.3995072628
173	0.3993675254
174	0.3992965222
175	0.3991480507
176	0.398995071
177	0.3987998571
178	0.39864991
179	0.398561365
180	0.3984191334
181	0.3982408627
182	0.3980994732
183	0.3979763425
184	0.3978545665
185	0.3977457618
186	0.3976128677
187	0.3974768749
188	0.3973710067
189	0.3972560618
190	0.3971175161
191	0.3970363925
192	0.3968727138
193	0.3968023123
194	0.3965974345
195	0.3965109742
196	0.3963952423
197	0.3962347208
198	0.3961232183
199	0.3960272969
200	0.3959110291
201	0.3957855324
202	0.3956588628
203	0.3955358495
204	0.3954250307
205	0.3953529188
206	0.3952977302
207	0.3952170274
208	0.3951396089
209	0.3950339549
210	0.3949451142
211	0.3948265368
212	0.3947386707
213	0.3946509616
214	0.3945406087
215	0.3945154328
216	0.3943728488
217	0.3942515388
218	0.3941393192
219	0.3940546479
220	0.3939817054
221	0.3939086568
222	0.3938284023
223	0.3937634616
224	0.3936236806
225	0.3935098114
226	0.3933773546
227	0.3932951861
228	0.3932044313
229	0.3931184113
230	0.3930501293
231	0.3930069078
232	0.3928997566
233	0.3928064206
234	0.3927013921
235	0.3925919997
236	0.3924832729
237	0.3923871185
238	0.3922889661
239	0.3921982698
240	0.3920839676
241	0.3920231468
242	0.3919545717
243	0.3918862471
244	0.3917799544
245	0.3916685801
246	0.3915990601
247	0.3914662899
248	0.3913444988
249	0.3912652722
250	0.3912266181
251	0.3911318665
252	0.3910933202
253	0.3910638478
254	0.3909877021
255	0.3908566574
256	0.3907661618
257	0.3906974564
258	0.3905833582
259	0.3904469946
260	0.3904183653
261	0.3903873572
262	0.3902513468
263	0.390197633
264	0.3901129058
265	0.3899982089
266	0.3899101006
267	0.3898179877
268	0.3896721362
269	0.3896352454
270	0.3895349249
271	0.3894918773
272	0.3894024844
273	0.3893162181
274	0.3892717371
275	0.3892084323
276	0.3891402204
277	0.3890582069
278	0.3889738632
279	0.3889139483
280	0.3888430013
281	0.38871072928282	0.3886454453
283	0.3886426885
284	0.3885384187
285	0.3884138185
286	0.3883504075
287	0.3882427168
288	0.388122289	0289	0.388002290	0.3840704554
291	0.3839940823
292	0.3839254415
293	0.3837976624
294	294	0.387691272
295	0.3876292855
296	0.3875610909
297	0.3875101877
298	0.3874259664
299	0.387299303
300	0.3872387317
301	0.3871500055
302	0.3870316357
303	0.3869570516
304	0.3868558019
305	0.3867956604
306	0.3866534257
307	0.3865808414
308	0.3865243964
309	0.3864657759
310	0.3864308076
311	0.3863592616
312	0.3863039778
313	0.3862605798
314	0.3861966731
315	0.3861556251
316	0.3860806301
317	0.386046051
318	0.385956211
319	0.3857664129
320	0.3856882354
321	0.3856350924
322	0.3855353795
323	0.3854333864
324	0.3853084037
325	0.385207295
326	0.3850898266
327	0.3850135625
328	0.3849209203
329	0.3848679034
330	0.3848113713
331	0.3847428243
332	0.3847000297
333	0.3846826098
334	0.3846445134
335	0.3845761175
336	0.384519337	0.3804719286
338	0338	0.384307339	0339	0.3841987368
340	0.3841433089
341	0.3840592236
342	0.3839560451
343	0.3838521347
344	0.3837877215
345	0.3837160597
346	0.3836132037
347	0.38347881
348	0.383343487
349	0.3832356278
350	0.3831664002
351	0.3831224293
352	0.3830696934
353	0.3829912051
354	0.3829337016
355	0.3828759468
356	0.3827635693
357	0.382621308
358	0.3825572509
359	0.3824463995
360	0.3824019547
361	0.382325527
362	0.3822348191
363	0.3821577386
364	0.3820965018
365	0.3820067282
366	0.3819228964
367	0.3818616117
368	0.3817496753
369	0.3817127782
370	0.3816002675
371	0.3815035699
372	0.3814025969
373	0.3813852369
374	0.3812911811
375	0.3812260779
376	0.381116327
377	0.381069754
378	0.380946379	0.3769209894
380	0.3768788959
381	0.3768092909
382	0.3767240059
383	0.3766338783
384	0.3765823761
385	0.3764619565
386	0.3764281994
387	0.3763114442
388	0.3762192566
389	0.37614097
390	0.3760008228
391	0.3758587545
392	0.3392	0.379690538
393	0.379562443
394	0.3794512999
395	0.3794291459
396	0.379365397	0.3752219363
398	0.3750896214
399	0.3749457599
400	0400	0.378915401	0.3747749092
402	0.3746836523
403	0.3746126182
404	0.3744582284
405	0.3743213602
406	0.3742750284
407	0407	0.3781928445
408	0.3780815797
409	0.378028410	0.3739165416
411	0411	0.3778818517
412	0.3777879175
413	0.3777279452
414	0.3776459897
415	0.3775066447
416	0.3773795552
417	0.3772406413
418	0.3771642593
419	0.3770306194
420	0.37690421	0.421	0.376818507
422	0.376744663
423	0.3766019884
424	0.3764430796
425	0.3763589055
426	0.3762519488
427	0.3761425649
428	0.376085337
429	0.3759672937
430	0.3759068605
431	0.3758407583
432	0.3757992511
433	0.3757304671
434	0.3756493691
435	0.3755255958
436	0.3754287834
437	0.3753044741
438	0.3752196274
439	0.3750985821
440	0.3749662742
441	0.3748656354
442	0.3747621867
443	0.3746653269
444	0.3745810587
445	0.374502106
446	0.3744856137
447	0.3743661927
448	0.3742563643
449	0.3741563363
450	0.3739980253
451	0.3739190753
452	0.3737852422
453	0.373725965
454	0.3735360055
455	0.3734462786
456	0.3733834028
457	0.3732724073
458	0.3731901481
459	0.3730693606
460	0.3729740352
461	0.3728399564
462	0.3726755485
463	0.3725267578
464	0.372477115
465	0.3723950045
466	0.3722819434
467	0.3721964514
468	0.3721246094
469	0.3720381213
470	0.3719675615
471	0.3718698276
472	0.3717811913
473	0.3717067942
474	0.371604022
475	0.3714930419
476	0.3713582403
477	0.3712854165
478	0.3712129527
479	0.3711608165
480	0.3710531352
481	0.3709575691
482	0.3708452685
483	0.3706454236
484	0.370585072
485	0.370460068
486	0.3703599319
487	0.3702714189
488	0.3701833137
489	0.3700885396
490	0.3699689741
491	0.369866099
492	0.3697852172
493	0.3696912263
494	0.3695663289
495	0.3695196388
496	0.3694208065
497	0.3693015026
498	0.3692013497
499	0.369079272
500	0.3690680658
501	0.3689904539
502	0.3689303655
503	0.3688307546
504	0.3687377739
505	0.3686394387
506	0.3685251052
507	0.3684481787
508	0.3683645455
509	0.3682403887
510	0.3681126519
511	0.3680286159
512	0.3679605484
513	0.3678366438
514	0.3677337578
515	0.3676640611
516	0.3675370102
517	0.3674609557
518	0.367357622
519	0.3672356589
520	0.3671896565
521	0.36709607
522	0.366953275
523	0.3668309575
524	0.3667755088
525	0.3667249554
526	0.3666117117
527	0.3665229638
528	0.3664723725
529	0.3664385642
530	0.366327599
531	0.3662556084
532	0.3661508271
533	0.3660554321
534	0.3659714644
535	0.3659083682
536	0.3658687125
537	0.365754759
538	0.3656637714
539	0.3655870551
540	0.3655263268
541	0.3654115224
542	0.3652988555
543	0.3652438569
544	0.3651395194
545	0.3650658026
546	0.3649612415
547	0.3648784556
548	0.3647819087
549	0.3646665277
550	0.364578466
551	0.3645046689
552	0.3644190105
553	0.3643412077
554	0.3642309623
555	0.3641772269
556	0.3640783689
557	0.3640223801
558	0.363945774
559	0.3638060038
560	0.3636898885
561	0.3636255971
562	0.3635165897
563	0.363401037
564	0.3632899962
565	0.3631794523
566	0.3631358516
567	0.3630932414
568	0.3630420626
569	0.3629944291
570	0.3629066063
571	0.3627911207
572	0.3627251739
573	0.3626142878
574	0.3625036456
575	0.3624608172
576	0.3624232923
577	0.362335005
578	0.3622861716
579	0.3621813794
580	0.3620925151
